"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Gebbia V.; Oniga F.; Agueli R.; Paccagnella A.","Gebbia, V. (35478767500); Oniga, F. (14054558000); Agueli, R. (22953095300); Paccagnella, A. (7103145090)","35478767500; 14054558000; 22953095300; 7103145090","Treatment of advanced non-small cell lung cancer: Chemotherapy with or without cisplatin?","2006","Annals of Oncology","17","SUPPL. 2","","ii83","ii87","4","13","10.1093/annonc/mdj933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645813402&doi=10.1093%2fannonc%2fmdj933&partnerID=40&md5=8985f8c5f5857fec5c4ae6596cfdc084","Department of Experimental Oncology and Clinical Applications, University of Palermo, La Maddalena Clinic for Cancer, Palermo, Italy; Medical Oncology, Venice Hospital, Venice, Italy","Gebbia V., Department of Experimental Oncology and Clinical Applications, University of Palermo, La Maddalena Clinic for Cancer, Palermo, Italy; Oniga F., Medical Oncology, Venice Hospital, Venice, Italy; Agueli R., Department of Experimental Oncology and Clinical Applications, University of Palermo, La Maddalena Clinic for Cancer, Palermo, Italy; Paccagnella A., Medical Oncology, Venice Hospital, Venice, Italy","","","","15698041","","ANONE","16608994","English","Ann. Oncol.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-33645813402"
"Mlak R.; Krawczyk P.; Ciesielka M.; Homa I.; Powrózek T.; Prendecka M.; Kozioł P.; Milanowski J.; Małecka-Massalska T.","Mlak, Radosław (36774921900); Krawczyk, Paweł (6701497469); Ciesielka, Marzanna (7801533686); Homa, Iwona (57188841585); Powrózek, Tomasz (55505007600); Prendecka, Monika (15851313400); Kozioł, Piotr (55879092600); Milanowski, Janusz (7005499419); Małecka-Massalska, Teresa (36025646900)","36774921900; 6701497469; 7801533686; 57188841585; 55505007600; 15851313400; 55879092600; 7005499419; 36025646900","Predictive value of STMN1 gene promoter polymorphism (-2166T>C) in patients with advanced NSCLC treated with the combination of platinum compounds and vinorelbine","2015","Cancer Chemotherapy and Pharmacology","76","3","","621","629","8","7","10.1007/s00280-015-2831-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939569921&doi=10.1007%2fs00280-015-2831-7&partnerID=40&md5=c950999af080b300421dfbe9b31b3a4b","Department of Human Physiology, Medical University of Lublin, Radziwiłłowska 11, Lublin, 20-080, Poland; Department of Pneumology, Oncology and Allergology, Medical University of Lublin, Jaczewskiego 8, Lublin, 20-954, Poland; Department of Forensic Medicine, Medical University of Lublin, Ceramiczna 1, Lublin, 20-150, Poland","Mlak R., Department of Human Physiology, Medical University of Lublin, Radziwiłłowska 11, Lublin, 20-080, Poland; Krawczyk P., Department of Pneumology, Oncology and Allergology, Medical University of Lublin, Jaczewskiego 8, Lublin, 20-954, Poland; Ciesielka M., Department of Forensic Medicine, Medical University of Lublin, Ceramiczna 1, Lublin, 20-150, Poland; Homa I., Department of Pneumology, Oncology and Allergology, Medical University of Lublin, Jaczewskiego 8, Lublin, 20-954, Poland; Powrózek T., Department of Pneumology, Oncology and Allergology, Medical University of Lublin, Jaczewskiego 8, Lublin, 20-954, Poland; Prendecka M., Department of Human Physiology, Medical University of Lublin, Radziwiłłowska 11, Lublin, 20-080, Poland; Kozioł P., Department of Forensic Medicine, Medical University of Lublin, Ceramiczna 1, Lublin, 20-150, Poland; Milanowski J., Department of Pneumology, Oncology and Allergology, Medical University of Lublin, Jaczewskiego 8, Lublin, 20-954, Poland; Małecka-Massalska T., Department of Human Physiology, Medical University of Lublin, Radziwiłłowska 11, Lublin, 20-080, Poland","R. Mlak; Department of Human Physiology, Medical University of Lublin, Lublin, Radziwiłłowska 11, 20-080, Poland; email: radoslaw.mlak@gmail.com","","Springer Verlag","03445704","","CCPHD","26220844","English","Cancer Chemother. Pharmacol.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84939569921"
"Xu X.; Duan L.; Zhou B.; Ma R.; Zhou H.; Liu Z.","Xu, Xiaojing (55554421600); Duan, Li (58391117400); Zhou, Boting (55139327100); Ma, Rui (57189626595); Zhou, Honghao (7404743248); Liu, Zhaoqian (15829380700)","55554421600; 58391117400; 55139327100; 57189626595; 7404743248; 15829380700","Genetic polymorphism of copper transporter protein 1 is related to platinum resistance in Chinese non-small cell lung carcinoma patients","2012","Clinical and Experimental Pharmacology and Physiology","39","9","","786","792","6","50","10.1111/j.1440-1681.2012.05741.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865584931&doi=10.1111%2fj.1440-1681.2012.05741.x&partnerID=40&md5=704b44ef6911b1ce6d35c13e4e95c713","Institute of Clinical Pharmacology, Hunan Key Laboratory of Pharmacogenetics, Central South University, Changsha, China; Department of Oncology, Zhongnan Hospital, Wuhan University, Wuhan, China; Department of Pharmacy, Xiangya Hospital, Central South University, Changsha, Hunan, China; Department of Oncology, Xijing Hospital, Xi'an, China","Xu X., Institute of Clinical Pharmacology, Hunan Key Laboratory of Pharmacogenetics, Central South University, Changsha, China; Duan L., Department of Oncology, Zhongnan Hospital, Wuhan University, Wuhan, China; Zhou B., Department of Pharmacy, Xiangya Hospital, Central South University, Changsha, Hunan, China; Ma R., Department of Oncology, Xijing Hospital, Xi'an, China; Zhou H., Institute of Clinical Pharmacology, Hunan Key Laboratory of Pharmacogenetics, Central South University, Changsha, China; Liu Z., Institute of Clinical Pharmacology, Hunan Key Laboratory of Pharmacogenetics, Central South University, Changsha, China","Z. Liu; Institute of Clinical Pharmacology, Hunan Key Laboratory of Pharmacogenetics, Central South University, Changsha, Hunan 410078, China; email: liuzhaoqian63@126.com","","","14401681","","CEXPB","22725681","English","Clin. Exp. Pharmacol. Physiol.","Article","Final","","Scopus","2-s2.0-84865584931"
"Xu H.; Zhang Q.; Liang L.; Li J.; Liu Z.; Li W.; Yang L.; Yang G.; Xu F.; Ying J.; Zhang S.; Wang Y.","Xu, Haiyan (57157584400); Zhang, Quan (55699296800); Liang, Li (57217780596); Li, Junling (27172077000); Liu, Zhefeng (55702242800); Li, Weihua (57216171699); Yang, Lu (57190687938); Yang, Guangjian (57207953726); Xu, Fei (57215764413); Ying, Jianming (12645439800); Zhang, Shucai (23487372500); Wang, Yan (57203770954)","57157584400; 55699296800; 57217780596; 27172077000; 55702242800; 57216171699; 57190687938; 57207953726; 57215764413; 12645439800; 23487372500; 57203770954","Crizotinib vs platinum-based chemotherapy as first-line treatment for advanced non-small cell lung cancer with different ROS1 fusion variants","2020","Cancer Medicine","9","10","","3328","3336","8","21","10.1002/cam4.2984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081634287&doi=10.1002%2fcam4.2984&partnerID=40&md5=d720baa53e627474fc041e682dd2abd0","Department of Comprehensive Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Department of Medical Oncology, Beijing Chest Hospital, Capital Medical University, Beijing, China; Cancer Chemotherapy and Radiation Department, Peking University Third Hospital, Beijing, China; Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Department of Medical Oncology, Chinese PLA General Hospital, Beijing, China; Department of Pathology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China","Xu H., Department of Comprehensive Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Zhang Q., Department of Medical Oncology, Beijing Chest Hospital, Capital Medical University, Beijing, China; Liang L., Cancer Chemotherapy and Radiation Department, Peking University Third Hospital, Beijing, China; Li J., Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Liu Z., Department of Medical Oncology, Chinese PLA General Hospital, Beijing, China; Li W., Department of Pathology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Yang L., Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Yang G., Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Xu F., Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Ying J., Department of Pathology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; Zhang S., Department of Medical Oncology, Beijing Chest Hospital, Capital Medical University, Beijing, China; Wang Y., Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China","Y. Wang; Department of Medical Oncology, National Cancer Center/National Clinical Research Center for Cancer/Cancer Hospital, Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing, China; email: wangyanyifu@163.com","","Blackwell Publishing Ltd","20457634","","","32168429","English","Cancer Med.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85081634287"
"Nairuz T.; Bushra M.U.; Kabir Y.","Nairuz, Tahsin (57218289214); Bushra, Most Umme (55890588400); Kabir, Yearul (6602961427)","57218289214; 55890588400; 6602961427","Effect of XPD and TP53 Gene Polymorphisms on the Risk of Platinum-Based Chemotherapy Induced Toxicity in Bangladeshi Lung Cancer Patients","2021","Asian Pacific Journal of Cancer Prevention","22","12","","3809","3815","6","4","10.31557/APJCP.2021.22.12.3809","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122578285&doi=10.31557%2fAPJCP.2021.22.12.3809&partnerID=40&md5=2cdc58867e549724a67c43af2ee65d92","Department of Biochemistry and Molecular Biology, Noakhali Science and Technology University, Bangladesh; Department of Pharmacy, Manarat International University, Bangladesh; Department of Biochemistry and Molecular Biology, University of Dhaka, Bangladesh","Nairuz T., Department of Biochemistry and Molecular Biology, Noakhali Science and Technology University, Bangladesh; Bushra M.U., Department of Pharmacy, Manarat International University, Bangladesh; Kabir Y., Department of Biochemistry and Molecular Biology, University of Dhaka, Bangladesh","Y. Kabir; Department of Biochemistry and Molecular Biology, University of Dhaka, Bangladesh; email: ykabir@yahoo.com","","Asian Pacific Organization for Cancer Prevention","15137368","","","34967559","English","Asian Pac. J. Cancer Preven.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85122578285"
"Koumarianou A.; Chatzellis E.; Boutzios G.; Tsavaris N.; Kaltsas G.","Koumarianou, Anna (8392321000); Chatzellis, Eleftherios (55650750900); Boutzios, Georgios (22940063700); Tsavaris, Nikolaos (35496194000); Kaltsas, Gregory (7004156208)","8392321000; 55650750900; 22940063700; 35496194000; 7004156208","Current concepts in the diagnosis and management of poorly differentiated gastrointestinal neuroendocrine carcinomas","2013","Endokrynologia Polska","64","1","","60","72","12","16","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84876171609&partnerID=40&md5=78637da6997c64364212d81943bf145b","Second Department of Internal Medicine Propaedeutic and Research Institute, Attikon University Hospital, Athens, Greece; Department of Pathophysiology, National University of Athens, 11527, Athens, Mikras Asias 75, Greece","Koumarianou A., Second Department of Internal Medicine Propaedeutic and Research Institute, Attikon University Hospital, Athens, Greece; Chatzellis E., Department of Pathophysiology, National University of Athens, 11527, Athens, Mikras Asias 75, Greece; Boutzios G., Department of Pathophysiology, National University of Athens, 11527, Athens, Mikras Asias 75, Greece; Tsavaris N., Department of Pathophysiology, National University of Athens, 11527, Athens, Mikras Asias 75, Greece; Kaltsas G., Department of Pathophysiology, National University of Athens, 11527, Athens, Mikras Asias 75, Greece","G. Kaltsas; Department of Pathophysiology, National University of Athens, 11527, Athens, Mikras Asias 75, Greece; email: gkaltsas@endo.gr","","","0423104X","","EDPKA","23450449","English","Endokrynol. Pol.","Article","Final","","Scopus","2-s2.0-84876171609"
"Giovannetti E.; Toffalorio F.; De Pas T.; Peters G.J.","Giovannetti, Elisa (6603378969); Toffalorio, Francesca (25931204600); De Pas, Tommaso (6701341944); Peters, Godefridus J. (36014019800)","6603378969; 25931204600; 6701341944; 36014019800","Pharmacogenetics of conventional chemotherapy in non-small-cell lung cancer: A changing landscape?","2012","Pharmacogenomics","13","9","","1073","1086","13","31","10.2217/pgs.12.91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864408125&doi=10.2217%2fpgs.12.91&partnerID=40&md5=2a1bb67a8dd29d39d81994edd23177a4","Department of Medical Oncology, VU University Medical Center, 1081 HV, Amsterdam, De Boelelaan 1117, Netherlands; Clinical Pharmacology and New Drug Development Unit, European Institute of Oncology, Milan, Italy","Giovannetti E., Department of Medical Oncology, VU University Medical Center, 1081 HV, Amsterdam, De Boelelaan 1117, Netherlands; Toffalorio F., Clinical Pharmacology and New Drug Development Unit, European Institute of Oncology, Milan, Italy; De Pas T., Clinical Pharmacology and New Drug Development Unit, European Institute of Oncology, Milan, Italy; Peters G.J., Department of Medical Oncology, VU University Medical Center, 1081 HV, Amsterdam, De Boelelaan 1117, Netherlands","G.J. Peters; Department of Medical Oncology, VU University Medical Center, 1081 HV, Amsterdam, De Boelelaan 1117, Netherlands; email: gj.peters@vumc.nl","","","17448042","","PARMF","22838953","English","Pharmacogenomics","Review","Final","","Scopus","2-s2.0-84864408125"
"Lara Jr. P.N.; Gandara D.R.; Natale R.B.","Lara Jr., Primo N. (7004374071); Gandara, David R. (35394261000); Natale, Ronald B. (7006261118)","7004374071; 35394261000; 7006261118","Randomized phase III trial of cisplatin/irinotecan versus cisplatin/etoposide in patients with extensive-stage small-cell lung cancer","2006","Clinical Lung Cancer","7","5","","353","356","3","15","10.3816/CLC.2006.n.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-33745007372&doi=10.3816%2fCLC.2006.n.019&partnerID=40&md5=72b2b465b147ea9060bb6d26be734189","University of California, Davis Cancer Center, Sacramento, CA 95817-2229, 4501 X St., United States; Cedars-Sinai Comprehensive Cancer Center, Los Angeles, CA, United States","Lara Jr. P.N., University of California, Davis Cancer Center, Sacramento, CA 95817-2229, 4501 X St., United States; Gandara D.R., University of California, Davis Cancer Center, Sacramento, CA 95817-2229, 4501 X St., United States; Natale R.B., Cedars-Sinai Comprehensive Cancer Center, Los Angeles, CA, United States","P.N. Lara Jr.; Department of Medicine, University of California, Davis Cancer Center, Sacramento, CA 95817-2229, 4501 X St., United States; email: primo.lara@ucdmc.ucdavis.edu","","Cancer Information Group, LP","15257304","","CLCLC","16640809","English","Clin. Lung Cancer","Article","Final","","Scopus","2-s2.0-33745007372"
"Giachino D.F.; Ghio P.; Regazzoni S.; Mandrile G.; Novello S.; Selvaggi G.; Gregori D.; DeMarchi M.; Scagliotti G.V.","Giachino, Daniela F. (8249120300); Ghio, Paolo (6602702658); Regazzoni, Silvia (57199617177); Mandrile, Giorgia (16417413800); Novello, Silvia (6603853615); Selvaggi, Giovanni (7102479041); Gregori, Dario (7003412314); DeMarchi, Mario (7005084723); Scagliotti, Giorgio V. (7006392582)","8249120300; 6602702658; 57199617177; 16417413800; 6603853615; 7102479041; 7003412314; 7005084723; 7006392582","Prospective assessment of XPD Lys751Gln and XRCC1 Arg399Gln single nucleotide polymorphisms in lung cancer","2007","Clinical Cancer Research","13","10","","2876","2881","5","101","10.1158/1078-0432.CCR-06-2543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34249812370&doi=10.1158%2f1078-0432.CCR-06-2543&partnerID=40&md5=6b5699b538cab0b20e9f2a47d1ce49db","Medical Genetics Unit, University of Torino, Turin, Italy; Thoracic Oncology Unit, Department of Clinical and Biological Sciences, University of Torino, Turin, Italy; Medical Statistics, Department of Public Health, University of Torino, Turin, Italy; Department of Clinical and Biological Sciences, S. Luigi Hospital, University of Torino, 10043 Orbassano, Turin, Regione Gonzole 10, Italy","Giachino D.F., Medical Genetics Unit, University of Torino, Turin, Italy; Ghio P., Thoracic Oncology Unit, Department of Clinical and Biological Sciences, University of Torino, Turin, Italy; Regazzoni S., Medical Genetics Unit, University of Torino, Turin, Italy; Mandrile G., Medical Genetics Unit, University of Torino, Turin, Italy; Novello S., Thoracic Oncology Unit, Department of Clinical and Biological Sciences, University of Torino, Turin, Italy; Selvaggi G., Thoracic Oncology Unit, Department of Clinical and Biological Sciences, University of Torino, Turin, Italy; Gregori D., Medical Statistics, Department of Public Health, University of Torino, Turin, Italy; DeMarchi M., Medical Genetics Unit, University of Torino, Turin, Italy; Scagliotti G.V., Thoracic Oncology Unit, Department of Clinical and Biological Sciences, University of Torino, Turin, Italy, Department of Clinical and Biological Sciences, S. Luigi Hospital, University of Torino, 10043 Orbassano, Turin, Regione Gonzole 10, Italy","G.V. Scagliotti; Department of Clinical and Biological Sciences, S. Luigi Hospital, University of Torino, 10043 Orbassano, Turin, Regione Gonzole 10, Italy; email: giorgio.scagliotti@unito.it","","","10780432","","CCREF","17504986","English","Clin. Cancer Res.","Article","Final","","Scopus","2-s2.0-34249812370"
"Kalikaki A.; Voutsina A.; Koutsopoulos A.; Papadaki C.; Sfakianaki M.; Yachnakis E.; Xyrafas A.; Kotsakis A.; Agelaki S.; Souglakos J.; Mavroudis D.; Georgoulias V.","Kalikaki, Aristea (26532939400); Voutsina, Alexandra (6505895249); Koutsopoulos, Anastasios (6506467407); Papadaki, Chara (17135555600); Sfakianaki, Maria (12804476900); Yachnakis, Emmanouel (56658689400); Xyrafas, Alexandros (37110493000); Kotsakis, Athanasios (6602395422); Agelaki, Sofia (10038893700); Souglakos, John (55907518900); Mavroudis, Dimitrios (7003472147); Georgoulias, Vassilis (7102636370)","26532939400; 6505895249; 6506467407; 17135555600; 12804476900; 56658689400; 37110493000; 6602395422; 10038893700; 55907518900; 7003472147; 7102636370","ERCC1 SNPs as Potential Predictive Biomarkers in Non-Small Cell Lung Cancer Patients Treated With Platinum-Based Chemotherapy","2015","Cancer Investigation","33","4","","107","113","6","16","10.3109/07357907.2014.1001897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930004902&doi=10.3109%2f07357907.2014.1001897&partnerID=40&md5=9d1f11f6531b94921b26eb3d99d43476","Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Department of Pathology, University General Hospital of Heraklion, Heraklion, Crete, Greece; Department of Medical Oncology, University General Hospital of Heraklion, Heraklion, Crete, Greece","Kalikaki A., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Voutsina A., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Koutsopoulos A., Department of Pathology, University General Hospital of Heraklion, Heraklion, Crete, Greece; Papadaki C., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Sfakianaki M., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Yachnakis E., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Xyrafas A., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; Kotsakis A., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece, Department of Medical Oncology, University General Hospital of Heraklion, Heraklion, Crete, Greece; Agelaki S., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece, Department of Medical Oncology, University General Hospital of Heraklion, Heraklion, Crete, Greece; Souglakos J., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece, Department of Medical Oncology, University General Hospital of Heraklion, Heraklion, Crete, Greece; Mavroudis D., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece, Department of Medical Oncology, University General Hospital of Heraklion, Heraklion, Crete, Greece; Georgoulias V., Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece, Department of Medical Oncology, University General Hospital of Heraklion, Heraklion, Crete, Greece","A. Voutsina; Laboratory of Tumor Cell Biology, School of Medicine, University of Crete, Voutes, Heraklion, Crete, 71110, Greece; email: medoncsec@med.uoc.gr","","Informa Healthcare","07357907","","CINVD","25647444","English","Cancer Invest.","Article","Final","","Scopus","2-s2.0-84930004902"
